Date,US_RV,Europe_RV,Asia_RV,Cross_Region_Correlation,Dislocation_Score,Arbitrage_Opportunity,Spillover_Intensity
2025-03-04 21:16:36.693979,30.53,31.08,20.27,0.669,2.54,Yes,10.81
2025-03-05 21:16:36.693979,28.8,29.05,20.16,0.82,2.47,Yes,8.89
2025-03-06 21:16:36.693979,29.21,31.43,24.16,0.77,2.13,Yes,7.28
2025-03-07 21:16:36.693979,32.64,34.75,31.24,0.877,2.84,Yes,3.51
2025-03-08 21:16:36.693979,31.83,26.78,26.36,0.85,2.67,Yes,10.53
2025-03-09 21:16:36.693979,23.17,19.75,20.32,0.95,1.46,No,6.26
2025-03-10 21:16:36.693979,20.65,19.04,20.77,0.788,0.26,No,1.74
2025-03-11 21:16:36.693979,17.73,14.2,7.0,0.95,1.97,Yes,15.76
2025-03-12 21:16:36.693979,17.33,19.14,11.24,0.775,0.17,No,7.9
2025-03-13 21:16:36.693979,21.42,17.11,19.93,0.72,0.2,No,5.79
2025-03-14 21:16:36.693979,21.95,24.29,19.68,0.736,0.09,No,4.61
2025-03-15 21:16:36.693979,26.34,24.28,21.04,0.725,0.16,No,7.37
2025-03-16 21:16:36.693979,17.05,13.15,12.12,0.598,1.01,No,8.82
2025-03-17 21:16:36.693979,20.11,21.16,14.85,0.783,0.22,No,6.3
2025-03-18 21:16:36.693979,19.63,25.05,20.25,0.713,0.25,No,6.03
2025-03-19 21:16:36.693979,22.17,17.5,16.99,0.66,0.6,No,9.86
2025-03-20 21:16:36.693979,23.79,19.89,23.81,0.74,0.07,No,3.92
2025-03-21 21:16:36.693979,19.15,18.36,17.57,0.828,0.52,No,2.37
2025-03-22 21:16:36.693979,22.42,23.25,20.27,0.873,0.82,No,2.99
2025-03-23 21:16:36.693979,21.32,19.41,16.36,0.676,0.49,No,6.85
2025-03-24 21:16:36.693979,22.65,21.23,22.95,0.674,0.5,No,1.71
2025-03-25 21:16:36.693979,19.55,20.23,15.88,0.647,0.69,No,4.35
2025-03-26 21:16:36.693979,25.03,22.58,24.35,0.607,0.95,No,3.14
2025-03-27 21:16:36.693979,21.11,20.27,20.91,0.643,0.71,No,1.05
2025-03-28 21:16:36.693979,24.15,19.62,21.86,0.652,0.65,No,6.82
2025-03-29 21:16:36.693979,25.04,24.96,14.33,0.781,0.21,No,10.79
2025-03-30 21:16:36.693979,21.82,21.79,14.74,0.663,0.58,No,7.1
2025-03-31 21:16:36.693979,27.08,27.82,18.33,0.95,1.8,Yes,9.49
2025-04-01 21:16:36.693979,15.88,16.03,9.06,0.806,0.37,No,6.98
2025-04-02 21:16:36.693979,22.98,18.99,16.02,0.632,0.79,No,10.95
2025-04-03 21:16:36.693979,24.12,24.94,24.97,0.724,0.17,No,1.67
2025-04-04 21:16:36.693979,24.91,26.14,18.34,0.633,0.78,No,7.8
2025-04-05 21:16:36.693979,29.97,27.03,24.13,0.509,1.6,Yes,8.79
2025-04-06 21:16:36.693979,22.67,25.98,19.39,0.746,0.03,No,6.6
2025-04-07 21:16:36.693979,28.52,22.13,21.15,0.95,2.27,Yes,13.77
2025-04-08 21:16:36.693979,24.29,22.5,22.75,0.937,1.25,No,3.32
2025-04-09 21:16:36.693979,20.62,20.6,21.73,0.654,0.64,No,1.14
2025-04-10 21:16:36.693979,23.49,22.04,20.7,0.536,1.43,No,4.24
2025-04-11 21:16:36.693979,15.34,15.58,16.0,0.703,0.31,No,0.9
2025-04-12 21:16:36.693979,22.91,21.06,22.98,0.65,0.66,No,1.92
2025-04-13 21:16:36.693979,26.51,21.65,17.57,0.877,0.85,No,13.81
2025-04-14 21:16:36.693979,29.76,29.52,17.16,0.687,0.42,No,12.84
2025-04-15 21:16:36.693979,25.61,23.92,14.45,0.555,1.3,No,12.86
2025-04-16 21:16:36.693979,22.53,20.98,12.09,0.84,0.6,No,11.98
2025-04-17 21:16:36.693979,24.68,20.37,20.09,0.534,1.44,No,8.9
2025-04-18 21:16:36.693979,24.83,18.6,14.66,0.682,0.45,No,16.4
2025-04-19 21:16:36.693979,22.85,22.38,18.08,0.95,2.1,Yes,5.23
2025-04-20 21:16:36.693979,24.2,14.33,13.05,0.571,1.2,No,21.03
2025-04-21 21:16:36.693979,35.15,31.79,30.69,0.901,1.01,No,7.83
2025-04-22 21:16:36.693979,21.19,15.52,18.82,0.417,2.22,Yes,8.03
2025-04-23 21:16:36.693979,27.9,25.42,23.77,0.796,0.3,No,6.6
2025-04-24 21:16:36.693979,26.01,24.37,21.35,0.757,0.05,No,6.3
2025-04-25 21:16:36.693979,20.78,18.68,23.09,0.797,0.31,No,4.42
2025-04-26 21:16:36.693979,28.29,23.59,19.22,0.569,1.2,No,13.78
2025-04-27 21:16:36.693979,20.82,15.64,17.32,0.697,0.36,No,8.69
2025-04-28 21:16:36.693979,27.39,24.5,14.33,0.817,0.44,No,15.94
2025-04-29 21:16:36.693979,18.6,18.35,12.64,0.785,0.23,No,6.22
2025-04-30 21:16:36.693979,20.29,21.2,16.33,0.698,0.34,No,4.86
2025-05-01 21:16:36.693979,19.46,23.07,12.88,0.789,0.26,No,10.19
2025-05-02 21:16:36.693979,21.61,29.81,17.66,0.658,0.61,No,12.16
2025-05-03 21:16:36.693979,36.58,35.49,30.14,0.701,2.32,Yes,7.53
2025-05-04 21:16:36.693979,44.23,39.32,37.2,0.638,2.75,Yes,11.95
2025-05-05 21:16:36.693979,39.27,35.59,26.97,0.744,2.04,Yes,15.98
2025-05-06 21:16:36.693979,36.55,35.21,23.29,0.815,2.43,Yes,14.6
2025-05-07 21:16:36.693979,34.11,33.03,27.1,0.95,3.4,Yes,8.09
2025-05-08 21:16:36.693979,23.85,24.08,24.92,0.693,0.38,No,1.3
2025-05-09 21:16:36.693979,21.09,17.01,17.41,0.822,0.48,No,7.76
2025-05-10 21:16:36.693979,21.88,22.55,18.81,0.756,0.04,No,3.74
2025-05-11 21:16:36.693979,20.67,18.36,9.21,0.785,0.24,No,13.76
2025-05-12 21:16:36.693979,23.3,22.28,19.99,0.808,0.39,No,4.34
2025-05-13 21:16:36.693979,22.73,21.44,13.83,0.662,0.58,No,10.18
2025-05-14 21:16:36.693979,23.05,19.75,20.87,0.651,0.66,No,5.48
2025-05-15 21:16:36.693979,23.38,22.16,20.77,0.885,0.9,No,3.82
2025-05-16 21:16:36.693979,24.64,17.68,23.06,0.95,1.53,Yes,8.54
2025-05-17 21:16:36.693979,20.93,20.38,14.02,0.458,1.95,Yes,7.45
2025-05-18 21:16:36.693979,19.97,17.63,14.92,0.606,0.96,No,7.4
2025-05-19 21:16:36.693979,19.8,18.8,13.54,0.832,0.54,No,7.26
2025-05-20 21:16:36.693979,23.85,28.22,22.27,0.786,0.24,No,5.96
2025-05-21 21:16:36.693979,19.75,19.52,16.79,0.673,0.51,No,3.18
2025-05-22 21:16:36.693979,23.76,18.7,18.09,0.833,0.56,No,10.73
2025-05-23 21:16:36.693979,20.34,18.77,15.84,0.625,0.84,No,6.07
2025-05-24 21:16:36.693979,24.51,20.29,20.34,0.812,0.41,No,8.4
2025-05-25 21:16:36.693979,17.93,17.43,11.72,0.95,1.39,No,6.72
2025-05-26 21:16:36.693979,17.15,14.94,10.19,0.546,1.36,No,9.17
2025-05-27 21:16:36.693979,25.12,24.71,20.26,0.652,0.66,No,5.27
2025-05-28 21:16:36.693979,22.85,19.36,20.52,0.619,0.87,No,5.82
2025-05-29 21:16:36.693979,17.97,19.17,17.07,0.84,0.6,No,2.1
2025-05-30 21:16:36.693979,16.53,14.93,13.86,0.623,0.85,No,4.26
2025-05-31 21:16:36.693979,23.56,16.02,16.33,0.674,0.51,No,14.77
2025-06-01 21:16:36.693979,10.69,7.59,10.89,0.755,0.03,No,3.3
2025-06-02 21:16:36.693979,23.71,26.01,20.08,0.797,0.31,No,5.93
2025-06-03 21:16:36.693979,18.95,11.47,11.03,0.765,0.1,No,15.4
2025-06-04 21:16:36.693979,20.37,20.04,13.6,0.891,0.94,No,7.1
2025-06-05 21:16:36.693979,22.74,23.67,21.02,0.666,0.56,No,2.65
2025-06-06 21:16:36.693979,21.29,20.46,18.5,0.805,0.37,No,3.62
2025-06-07 21:16:36.693979,17.46,14.69,13.85,0.898,0.99,No,6.38
2025-06-08 21:16:36.693979,16.27,18.06,15.41,0.705,0.3,No,2.65
2025-06-09 21:16:36.693979,21.53,19.41,21.67,0.815,0.43,No,2.26
2025-06-10 21:16:36.693979,17.08,14.3,13.54,0.719,0.2,No,6.32
2025-06-11 21:16:36.693979,13.12,12.61,8.43,0.838,0.59,No,5.2
2025-06-12 21:16:36.693979,20.58,16.43,21.58,0.731,0.13,No,5.15
2025-06-13 21:16:36.693979,13.51,15.38,9.8,0.738,0.08,No,5.59
2025-06-14 21:16:36.693979,15.0,12.71,14.42,0.707,0.29,No,2.87
2025-06-15 21:16:36.693979,11.68,13.3,7.0,0.577,1.15,No,7.16
2025-06-16 21:16:36.693979,19.34,15.45,8.56,0.843,0.62,No,14.68
2025-06-17 21:16:36.693979,14.63,13.89,11.03,0.785,0.23,No,4.34
2025-06-18 21:16:36.693979,13.07,16.8,7.0,0.817,0.44,No,10.43
2025-06-19 21:16:36.693979,17.04,14.58,10.71,0.903,1.02,No,8.79
2025-06-20 21:16:36.693979,11.93,10.62,12.61,0.755,0.03,No,1.99
2025-06-21 21:16:36.693979,9.3,14.28,7.0,0.69,0.4,No,7.89
2025-06-22 21:16:36.693979,15.26,16.53,18.33,0.501,1.66,Yes,4.34
2025-06-23 21:16:36.693979,16.77,18.11,13.17,0.868,0.79,No,4.95
2025-06-24 21:16:36.693979,16.9,12.91,18.92,0.516,1.56,Yes,6.01
2025-06-25 21:16:36.693979,10.5,10.27,14.65,0.704,0.31,No,4.38
2025-06-26 21:16:36.693979,13.62,17.16,10.31,0.573,1.18,No,6.84
2025-06-27 21:16:36.693979,12.28,15.87,10.42,0.95,1.93,Yes,5.44
2025-06-28 21:16:36.693979,15.57,13.62,12.83,0.622,0.85,No,4.69
2025-06-29 21:16:36.693979,11.18,22.7,12.44,0.879,0.86,No,12.78
2025-06-30 21:16:36.693979,11.15,15.4,12.66,0.95,1.88,Yes,5.76
2025-07-01 21:16:36.693979,18.36,13.91,11.44,0.599,1.0,No,11.37
2025-07-02 21:16:36.693979,24.4,24.28,18.33,0.95,4.07,Yes,6.2
2025-07-03 21:16:36.693979,24.66,26.78,21.85,0.95,3.76,Yes,4.93
2025-07-04 21:16:36.693979,23.93,17.96,18.94,0.653,2.64,Yes,10.96
2025-07-05 21:16:36.693979,27.11,28.24,23.5,0.61,2.93,Yes,4.74
2025-07-06 21:16:36.693979,28.84,24.14,22.47,0.732,2.12,Yes,11.06
2025-07-07 21:16:36.693979,10.8,10.74,8.73,0.718,0.21,No,2.14
2025-07-08 21:16:36.693979,13.49,11.91,14.17,0.661,0.6,No,2.26
2025-07-09 21:16:36.693979,11.7,8.68,12.99,0.949,1.33,No,4.31
2025-07-10 21:16:36.693979,13.83,14.18,11.27,0.516,1.56,Yes,2.92
2025-07-11 21:16:36.693979,8.0,10.27,7.0,0.546,1.36,No,4.17
2025-07-12 21:16:36.693979,8.0,9.78,9.08,0.52,1.53,Yes,4.3
2025-07-13 21:16:36.693979,11.87,13.06,8.15,0.936,1.24,No,4.91
2025-07-14 21:16:36.693979,10.3,7.0,8.14,0.95,1.37,No,6.0
2025-07-15 21:16:36.693979,10.23,8.08,10.56,0.789,0.26,No,2.48
2025-07-16 21:16:36.693979,11.2,12.71,7.33,0.66,0.6,No,5.39
2025-07-17 21:16:36.693979,13.34,10.92,15.85,0.934,1.23,No,4.93
2025-07-18 21:16:36.693979,8.0,12.22,7.22,0.95,1.38,No,5.0
2025-07-19 21:16:36.693979,11.47,11.31,8.76,0.383,2.45,Yes,2.88
2025-07-20 21:16:36.693979,13.83,11.98,14.25,0.95,1.67,Yes,2.26
2025-07-21 21:16:36.693979,9.29,8.3,10.99,0.68,0.47,No,2.69
2025-07-22 21:16:36.693979,14.96,12.99,16.53,0.704,0.31,No,3.55
2025-07-23 21:16:36.693979,11.99,14.65,11.53,0.911,1.07,No,3.12
2025-07-24 21:16:36.693979,8.0,7.0,7.0,0.635,0.77,No,0.48
2025-07-25 21:16:36.693979,13.92,12.55,9.15,0.891,0.94,No,6.14
2025-07-26 21:16:36.693979,8.0,7.0,8.44,0.95,1.34,No,2.23
2025-07-27 21:16:36.693979,11.54,7.77,11.71,0.661,0.59,No,3.94
2025-07-28 21:16:36.693979,14.45,13.33,15.27,0.687,0.42,No,1.94
2025-07-29 21:16:36.693979,9.06,7.0,7.0,0.777,0.18,No,7.4
2025-07-30 21:16:36.693979,11.47,13.28,13.34,0.754,0.03,No,3.67
2025-07-31 21:16:36.693979,11.43,14.5,10.26,0.612,0.92,No,4.23
2025-08-01 21:16:36.693979,9.72,7.0,7.0,0.496,1.69,Yes,9.02
2025-08-02 21:16:36.693979,12.41,15.58,7.49,0.614,0.9,No,8.09
2025-08-03 21:16:36.693979,14.26,13.0,12.47,0.861,0.74,No,3.06
2025-08-04 21:16:36.693979,9.4,8.26,7.0,0.517,1.55,Yes,4.0
2025-08-05 21:16:36.693979,13.07,14.61,11.04,0.95,1.36,No,3.57
2025-08-06 21:16:36.693979,10.93,12.83,10.65,0.63,0.8,No,2.18
2025-08-07 21:16:36.693979,15.28,15.31,15.38,0.555,1.3,No,0.13
2025-08-08 21:16:36.693979,12.26,11.27,7.64,0.95,1.41,No,5.61
2025-08-09 21:16:36.693979,12.63,9.05,8.98,0.891,0.94,No,7.24
2025-08-10 21:16:36.693979,9.62,7.79,7.77,0.82,0.47,No,3.67
2025-08-11 21:16:36.693979,10.12,11.58,8.7,0.773,0.16,No,2.88
2025-08-12 21:16:36.693979,8.0,7.0,7.0,0.809,0.39,No,2.31
2025-08-13 21:16:36.693979,10.63,10.11,10.57,0.95,1.45,No,0.58
2025-08-14 21:16:36.693979,8.77,10.74,11.24,0.854,0.69,No,4.44
2025-08-15 21:16:36.693979,16.36,14.54,16.98,0.641,0.72,No,2.43
2025-08-16 21:16:36.693979,13.23,11.99,9.53,0.492,1.72,Yes,4.93
2025-08-17 21:16:36.693979,8.0,11.16,7.0,0.788,0.25,No,10.07
2025-08-18 21:16:36.693979,9.51,7.96,10.18,0.774,0.16,No,2.22
2025-08-19 21:16:36.693979,13.2,16.08,10.03,0.934,1.23,No,6.05
2025-08-20 21:16:36.693979,10.56,8.0,8.5,0.75,0.0,No,4.61
2025-08-21 21:16:36.693979,11.38,10.98,13.63,0.691,0.39,No,2.65
2025-08-22 21:16:36.693979,8.34,7.0,13.51,0.95,1.45,No,8.78
2025-08-23 21:16:36.693979,13.03,15.11,11.56,0.941,1.27,No,3.55
2025-08-24 21:16:36.693979,11.33,9.02,13.46,0.526,1.49,No,4.43
2025-08-25 21:16:36.693979,14.96,14.6,14.57,0.771,0.14,No,0.74
2025-08-26 21:16:36.693979,14.56,13.42,8.94,0.725,0.17,No,6.76
2025-08-27 21:16:36.693979,18.66,17.15,19.22,0.86,0.73,No,2.07
2025-08-28 21:16:36.693979,16.81,15.89,11.72,0.95,1.68,Yes,6.01
2025-08-29 21:16:36.693979,17.98,16.94,19.58,0.844,0.63,No,2.65
2025-08-30 21:16:36.693979,11.56,10.76,11.85,0.95,1.51,Yes,1.09
2025-08-31 21:16:36.693979,37.77,34.9,31.9,0.658,2.61,Yes,8.73
2025-09-01 21:16:36.693979,27.47,27.72,26.01,0.692,2.39,Yes,1.71
2025-09-02 21:16:36.693979,27.12,25.68,25.42,0.95,4.95,Yes,3.13
2025-09-03 21:16:36.693979,28.46,28.8,26.57,0.734,2.11,Yes,2.22
2025-09-04 21:16:36.693979,20.68,22.08,15.92,0.801,2.34,Yes,6.16
2025-09-05 21:16:36.693979,15.35,13.02,15.36,0.568,1.21,No,2.34
2025-09-06 21:16:36.693979,19.45,15.83,18.06,0.753,0.02,No,5.01
2025-09-07 21:16:36.693979,21.65,23.26,21.54,0.95,1.46,No,1.71
2025-09-08 21:16:36.693979,18.32,14.67,11.58,0.437,2.09,Yes,10.38
2025-09-09 21:16:36.693979,14.87,14.81,10.47,0.723,0.18,No,4.45
2025-09-10 21:16:36.693979,19.83,18.09,12.51,0.742,0.05,No,9.06
2025-09-11 21:16:36.693979,15.89,14.83,16.94,0.709,0.27,No,2.12
2025-09-12 21:16:36.693979,24.13,26.09,17.36,0.583,1.11,No,8.73
2025-09-13 21:16:36.693979,18.89,20.94,13.7,0.886,0.91,No,7.24
2025-09-14 21:16:36.693979,22.9,19.53,16.15,0.857,0.71,No,10.12
2025-09-15 21:16:36.693979,19.96,17.25,14.91,0.739,0.07,No,7.76
2025-09-16 21:16:36.693979,15.04,16.7,10.84,0.332,2.78,Yes,5.85
2025-09-17 21:16:36.693979,19.89,17.05,20.98,0.662,0.59,No,3.93
2025-09-18 21:16:36.693979,16.89,17.62,11.68,0.633,0.78,No,5.94
2025-09-19 21:16:36.693979,21.93,18.04,13.08,0.95,1.73,Yes,12.74
2025-09-20 21:16:36.693979,22.36,20.34,17.76,0.826,0.51,No,6.61
2025-09-21 21:16:36.693979,23.75,20.3,19.91,0.674,0.51,No,7.29
2025-09-22 21:16:36.693979,20.48,19.81,16.34,0.86,0.74,No,4.81
2025-09-23 21:16:36.693979,22.72,17.54,13.96,0.695,0.37,No,13.93
2025-09-24 21:16:36.693979,26.94,22.77,20.58,0.67,0.54,No,10.53
2025-09-25 21:16:36.693979,20.0,19.44,20.2,0.818,0.46,No,0.76
2025-09-26 21:16:36.693979,19.45,25.41,15.82,0.663,0.58,No,9.59
2025-09-27 21:16:36.693979,26.29,23.17,25.7,0.619,0.87,No,3.7
2025-09-28 21:16:36.693979,26.53,25.05,24.77,0.95,1.9,Yes,3.24
2025-09-29 21:16:36.693979,19.02,21.36,11.04,0.593,1.05,No,10.32
2025-09-30 21:16:36.693979,20.19,20.42,16.24,0.725,0.17,No,4.18
2025-10-01 21:16:36.693979,23.21,23.21,20.41,0.914,1.09,No,2.8
2025-10-02 21:16:36.693979,28.4,26.09,20.74,0.842,0.61,No,9.98
2025-10-03 21:16:36.693979,19.67,17.02,18.75,0.731,0.12,No,3.57
2025-10-04 21:16:36.693979,19.64,14.97,15.87,0.921,1.14,No,8.43
2025-10-05 21:16:36.693979,26.8,25.05,27.12,0.734,0.1,No,2.07
2025-10-06 21:16:36.693979,23.14,15.25,17.01,0.878,0.85,No,14.02
2025-10-07 21:16:36.693979,28.39,24.05,23.68,0.907,1.05,No,9.04
2025-10-08 21:16:36.693979,23.86,16.57,19.64,0.864,0.76,No,11.51
2025-10-09 21:16:36.693979,21.11,19.31,13.37,0.364,2.57,Yes,9.55
2025-10-10 21:16:36.693979,27.15,25.07,26.16,0.879,0.86,No,3.08
2025-10-11 21:16:36.693979,23.12,21.45,20.04,0.895,0.97,No,4.76
2025-10-12 21:16:36.693979,25.26,26.23,19.05,0.6,1.0,No,7.18
2025-10-13 21:16:36.693979,24.2,23.08,15.54,0.549,1.34,No,9.77
2025-10-14 21:16:36.693979,25.82,22.93,19.87,0.696,0.36,No,8.84
2025-10-15 21:16:36.693979,29.13,29.91,19.13,0.67,0.53,No,10.78
2025-10-16 21:16:36.693979,27.19,26.62,21.27,0.579,1.14,No,6.5
2025-10-17 21:16:36.693979,22.67,19.97,18.83,0.95,1.7,Yes,6.53
2025-10-18 21:16:36.693979,22.71,18.74,17.71,0.905,1.03,No,8.98
2025-10-19 21:16:36.693979,20.49,23.05,15.85,0.64,0.73,No,7.2
2025-10-20 21:16:36.693979,20.08,20.83,15.54,0.776,0.17,No,5.29
2025-10-21 21:16:36.693979,22.21,20.08,16.2,0.735,0.1,No,8.14
2025-10-22 21:16:36.693979,22.94,17.66,26.39,0.545,1.36,No,8.73
2025-10-23 21:16:36.693979,25.52,19.26,14.15,0.765,0.1,No,17.63
2025-10-24 21:16:36.693979,25.51,26.84,21.33,0.728,0.15,No,5.51
2025-10-25 21:16:36.693979,22.15,24.57,20.4,0.563,1.25,No,4.18
2025-10-26 21:16:36.693979,25.11,23.71,18.8,0.866,0.77,No,7.72
2025-10-27 21:16:36.693979,27.49,24.89,20.77,0.95,1.5,No,9.31
2025-10-28 21:16:36.693979,27.78,25.79,16.94,0.802,0.34,No,12.82
2025-10-29 21:16:36.693979,27.05,18.11,22.04,0.687,0.42,No,13.95
2025-10-30 21:16:36.693979,38.16,32.86,29.87,0.95,3.39,Yes,13.59
2025-10-31 21:16:36.693979,35.53,32.39,29.22,0.831,2.54,Yes,9.45
2025-11-01 21:16:36.693979,36.15,34.17,28.7,0.846,2.64,Yes,9.43
2025-11-02 21:16:36.693979,27.14,23.96,14.59,0.95,3.7,Yes,15.72
2025-11-03 21:16:36.693979,35.59,31.19,29.17,0.901,3.01,Yes,10.82
2025-11-04 21:16:36.693979,25.03,24.27,18.63,0.564,1.24,No,7.17
2025-11-05 21:16:36.693979,27.47,25.17,16.32,0.826,0.51,No,13.44
2025-11-06 21:16:36.693979,24.62,27.18,20.27,0.573,1.18,No,6.91
2025-11-07 21:16:36.693979,19.04,21.35,15.09,0.62,0.87,No,6.26
2025-11-08 21:16:36.693979,22.16,24.08,19.03,0.915,1.1,No,5.05
2025-11-09 21:16:36.693979,24.95,21.11,25.07,0.691,0.39,No,3.96
2025-11-10 21:16:36.693979,26.51,27.25,20.9,0.583,1.11,No,6.34
